,Date,Team,Acquired,Relinquished,Notes
30434,2020-01-10,Nets,, Wilson Chandler,placed on IL with left hamstring injury
30435,2020-01-10,Pacers,, Domantas Sabonis,placed on IL with sore left knee
30436,2020-01-10,Pacers,, Malcolm Brogdon,strep throat (already on IL)
30437,2020-01-11,Bucks,, Kyle Korver,placed on IL with sore back
30439,2020-01-11,Lakers,, Danny Green,placed on IL with right hip injury
30440,2020-01-11,Lakers,, LeBron James,placed on IL with illness
30441,2020-01-11,Pelicans,, Kenrich Williams,placed on IL with sore lower back
30443,2020-01-11,Rockets,, Clint Capela,placed on IL with right heel injury
30445,2020-01-12,Jazz,, Donovan Mitchell,placed on IL with illness
30446,2020-01-12,Knicks,, Frank Ntilikina,placed on IL with groin injury
30456,2020-01-13,Cavaliers,, Ante Zizic,placed on IL with vestibular condition
30458,2020-01-13,Celtics,, Daniel Theis,placed on IL with sore right knee
30461,2020-01-13,Lakers,, Rajon Rondo,placed on IL with fractured finger
30467,2020-01-13,Pelicans,, Jrue Holiday,placed on IL with left elbow injury
30469,2020-01-14,Bucks,, Robin Lopez,placed on IL
30471,2020-01-14,Hawks,, Alex Len,placed on IL with sore lower back
30473,2020-01-14,Nets,, Garrett Temple,placed on IL with bruised right knee
30474,2020-01-14,Nets,, Wilson Chandler,placed on IL with left hamstring injury
30475,2020-01-14,Rockets,, Russell Westbrook,placed on IL
30476,2020-01-14,Suns,, Ricky Rubio,placed on IL for personal reasons
30478,2020-01-14,Grizzlies,, Bruno Caboclo,placed on IL with left knee injury
30479,2020-01-15,Celtics,, Jayson Tatum,placed on IL with sore right knee
30481,2020-01-15,Magic,, D.J. Augustine,placed on IL with left knee injury
30483,2020-01-15,Nuggets,, Gary Harris,placed on IL with strained right adductor
30487,2020-01-15,Thunder,, Abdel Nader,placed on IL with sprained left ankle
30489,2020-01-16,Celtics,, Jaylen Brown,placed on IL with sprained right thumb
30491,2020-01-16,Knicks,, Reggie Bullock,placed on IL with sore neck
30494,2020-01-16,Nuggets,, Jamal Murray,placed on IL with sprained left ankle
30495,2020-01-16,Suns,, Kelly Oubre Jr.,placed on IL with concussion
30496,2020-01-16,Warriors,, Jacob Evans,placed on IL with concussion
30497,2020-01-17,Bulls,, Daniel Gafford,placed on IL with right thumb injury
30498,2020-01-17,Cavaliers,, Brandon Knight,placed on IL with sore left knee
30499,2020-01-17,Spurs,, DeMarre Carroll,placed on IL
30500,2020-01-17,Spurs,, Rudy Gay,placed on IL with illness
30501,2020-01-17,Thunder,, Steven Adams,placed on IL with bruised right knee
30503,2020-01-17,Timberwolves,, Allen Crabbe,placed on IL with illness
30505,2020-01-18,Bucks,, Robin Lopez,placed on IL with illness
30506,2020-01-18,Cavaliers,, John Henson,placed on IL with sore lower back
30507,2020-01-18,Celtics,, Kemba Walker,placed on IL with sore left knee
30508,2020-01-18,Clippers,, Maurice Harkless / Moe Harkless,placed on IL with sore lower back
30511,2020-01-18,Knicks,, R.J. Barrett,placed on IL with sprained right ankle
30514,2020-01-18,Nets,, DeAndre Jordan,placed on IL with finger injury
30515,2020-01-18,Nets,, Joe Harris,placed on IL with sore lower back
30516,2020-01-18,Raptors,, Fred VanVleet,placed on IL with strained right hamstring
30517,2020-01-18,Raptors,, Malcolm Miller,placed on IL
30519,2020-01-18,Rockets,, Austin Rivers,placed on IL with sprained right thumb
30520,2020-01-18,Thunder,, Terrance Ferguson,placed on IL with illness
30522,2020-01-18,Warriors,, Alen Smailagic,placed on IL
30529,2020-01-20,Nets,, Kyrie Irving,placed on IL with right hamstring injury
30530,2020-01-20,Nets,, Wilson Chandler,placed on IL with left hamstring injury
30532,2020-01-20,Suns,, Jalen Lecque,placed on IL
30534,2020-01-20,Thunder,, Justin Patton,placed on IL with illness
30536,2020-01-20,Wizards,, Anzejs Pasecniks,placed on IL with sprained left ankle
30539,2020-01-22,Celtics,, Jaylen Brown,placed on IL with sprained right ankle
30540,2020-01-22,Clippers,, Kawhi Leonard,placed on IL
30541,2020-01-22,Clippers,, Patrick Beverley,placed on IL with right groin injury
30542,2020-01-22,Hawks,, Trae Young,placed on IL with bruised right thigh
30544,2020-01-22,Kings,, Marvin Bagley III,placed on IL with sprained left foot (out for season)
30546,2020-01-22,Mavericks,, Dwight Powell,placed on IL with torn right Achilles tendon (out for season)
30547,2020-01-22,Nuggets,, Mason Plumlee,placed on IL with right foot injury
30549,2020-01-22,Pistons,, Blake Griffin,placed on IL with left knee injury (out for season)
30550,2020-01-22,Pistons,, Bruce Brown,placed on IL with illness
30551,2020-01-22,Pistons,, Tim Frazier,placed on IL with illness
30554,2020-01-22,Thunder,, Steven Adams,placed on IL with sprained left ankle
30557,2020-01-23,Lakers,, JaVale McGee,placed on IL with flu
30558,2020-01-23,Nets,, Nicolas Claxton / Nic Claxton,placed on IL with left shoulder injury
30563,2020-01-24,Bucks,, Sterling Brown,placed on IL with illness
30564,2020-01-24,Bulls,, Lauri Markkanen,placed on IL with stress reaction in pelvis
30565,2020-01-24,Celtics,, Enes Kanter / Enes Freedom,placed on IL with bruised right hip
30569,2020-01-24,Pacers,, Goga Bitadze,placed on IL with illness
30570,2020-01-24,Pacers,, JaKarr Sampson,placed on IL with sprained left ankle
30571,2020-01-24,Pacers,, Malcolm Brogdon,placed on IL with concussion
30572,2020-01-24,Pacers,, T.J. Leaf,placed on IL with sore right knee
30573,2020-01-24,Pistons,, Tony Snell,placed on IL with illness
30575,2020-01-24,Raptors,, Patrick McCaw,placed on IL with fractured nose
30577,2020-01-24,Hawks,, DeAndre' Bembry,placed on IL with right hand injury
30578,2020-01-25,76ers,, Josh Richardson,placed on IL with strained left hamstring
30579,2020-01-25,Jazz,, Emmanuel Mudiay,placed on IL with sore right ankle
30583,2020-01-25,Thunder,, Danilo Gallinari,placed on IL with left thumb injury
30584,2020-01-25,Thunder,, Nerlens Noel,placed on IL with surgery to repair fractured left cheekbone
30587,2020-01-26,Grizzlies,, Jae Crowder,placed on IL with sore right knee
30588,2020-01-26,Hawks,, Alex Len,placed on IL with right hip flexor injury
30589,2020-01-26,Pacers,, Myles Turner,placed on IL with illness
30593,2020-01-26,Rockets,, James Harden,placed on IL with bruised left thigh
30594,2020-01-26,Suns,, Aron Baynes,placed on IL with sore left hip
30598,2020-01-27,Heat,, Kendrick Nunn,placed on IL with left Achilles injury
30600,2020-01-27,Jazz,, Nigel Williams-Goss,placed on IL
30603,2020-01-27,Rockets,, Clint Capela,placed on IL with right heel injury
30604,2020-01-27,Rockets,, Russell Westbrook,placed on IL
30605,2020-01-27,Spurs,, LaMarcus Aldridge,placed on IL with sprained right thumb
30609,2020-01-27,Timberwolves,, Allen Crabbe,placed on IL with left knee injury
30611,2020-01-28,Bucks,, Giannis Antetokounmpo,placed on IL with sore right shoulder
30612,2020-01-28,Celtics,, Javonte Green,placed on IL with sore left knee
30613,2020-01-28,Grizzlies,, Grayson Allen,placed on IL with left hip injury
30614,2020-01-28,Hawks,, Bruno Fernando,placed on IL with strained left calf
30616,2020-01-28,Raptors,, Rondae Hollis-Jefferson,placed on IL with sprained right ankle
30618,2020-01-29,Grizzlies,, De'Anthony Melton,placed on IL with sore left hand
30627,2020-01-30,76ers,, Al Horford,placed on IL with sore left knee
30628,2020-01-30,Clippers,, Terance Mann,placed on IL
30631,2020-01-30,Jazz,, Mike Conley Jr.,placed on IL
30632,2020-01-30,Jazz,, Tony Bradley,placed on IL with sprained right knee
30634,2020-01-30,Raptors,, Malcolm Miller,placed on IL with strained neck
30635,2020-01-30,Raptors,, Marc Gasol,placed on IL with left hamstring injury
30637,2020-01-30,Wizards,, Jordan McRae,placed on IL
30638,2020-01-31,Bucks,, Donte DiVincenzo,placed on IL with sprained left ankle
30639,2020-01-31,Bucks,, George Hill,placed on IL with strained left hamstring
30641,2020-01-31,Grizzlies,, Brandon Clarke,placed on IL with sore left hip
30644,2020-01-31,Mavericks,, Luka Doncic,placed on IL with sprained right ankle
30646,2020-01-31,Rockets,, Clint Capela,placed on IL with right heel injury
30650,2020-02-01,Celtics,, Kemba Walker,placed on IL with sore left knee
30651,2020-02-01,Clippers,, Derrick Walton Jr.,placed on IL with right elbow injury
30653,2020-02-01,Heat,, Gabe Vincent,placed on IL
30655,2020-02-01,Jazz,, Nigel Williams-Goss,placed on IL
30657,2020-02-01,Kings,, Dewayne Dedmon,placed on IL with flu
30658,2020-02-01,Knicks,, Frank Ntilikina,placed on IL with groin injury
30662,2020-02-02,Bulls,, Kris Dunn,placed on IL with sprained MCL in right knee (out for season)
30665,2020-02-02,Nuggets,, Michael Porter Jr.,placed on IL with right ankle injury
30666,2020-02-02,Raptors,, Norman Powell,placed on IL with fractured left hand
30667,2020-02-02,Suns,, Cameron Johnson,placed on IL with bruised right quadriceps
30668,2020-02-02,Suns,, Dario Saric,placed on IL with sprained left ankle
30669,2020-02-02,Suns,, Ty Jerome,placed on IL with left calf injury
30674,2020-02-03,Cavaliers,, Tristan Thompson,placed on IL with right quadricep injury
30675,2020-02-03,Celtics,, Marcus Smart,placed on IL with bruised right thigh
30677,2020-02-03,Clippers,, Terance Mann,placed on IL
30679,2020-02-03,Hawks,, Cameron Reddish / Cam Reddish,placed on IL with concussion
30680,2020-02-03,Hawks,, De'Andre Hunter,placed on IL with sprained left ankle
30682,2020-02-03,Hornets,, P.J. Washington,placed on IL with sprained right ankle
30685,2020-02-03,Magic,, Khem Birch,placed on IL with tightness in lower back
30686,2020-02-03,Mavericks,, Seth Curry,placed on IL with left knee injury
30687,2020-02-03,Nets,, Kyrie Irving,placed on IL with sprained right knee (out for season)
30688,2020-02-03,Pacers,, T.J. Warren,placed on IL with concussion
30689,2020-02-03,Pistons,, Derrick Rose,placed on IL with left hip injury
30690,2020-02-03,Suns,, Tyler Johnson,placed on IL with sore right knee
30697,2020-02-04,Rockets,, Russell Westbrook,placed on IL with sprained left thumb
30698,2020-02-05,Celtics,, Daniel Theis,placed on IL with sprained right ankle
30699,2020-02-05,Grizzlies,, Marko Guduric,placed on IL with illness
30702,2020-02-05,Heat,, Meyers Leonard,placed on IL with sprained left ankle
30703,2020-02-05,Heat,, Tyler Herro,placed on IL with sore right ankle
30706,2020-02-05,Mavericks,, Jose Juan Barea / Jose Barea / J.J. Barea,placed on IL with sprained left ankle
30707,2020-02-05,Nets,, Nicolas Claxton / Nic Claxton,placed on IL with sore left shoulder
30708,2020-02-05,Pistons,, Markieff Morris,placed on IL with illness
30710,2020-02-05,Thunder,, Isaiah Roby,placed on IL
30713,2020-02-05,Hawks,, Evan Turner,placed on IL
30715,2020-02-05,Timberwolves,, Keita Bates-Diop,placed on IL
30716,2020-02-06,Bulls,, Daniel Gafford,placed on IL with sprained right ankle
30718,2020-02-06,Knicks,, Allonzo Trier,placed on IL with illness
30719,2020-02-06,Knicks,, Damyean Dotson,placed on IL with illness
30725,2020-02-07,Celtics,, Gordon Hayward,placed on IL with sore left foot
30726,2020-02-07,Celtics,, Jaylen Brown,placed on IL with sprained right ankle
30729,2020-02-07,Grizzlies,, Dion Waiters,placed on IL
30730,2020-02-07,Jazz,, Ed Davis (Adam),placed on IL with back spasms
30733,2020-02-07,Pistons,, Brandon Knight,placed on IL with sore left knee
30734,2020-02-07,Rockets,, Russell Westbrook,placed on IL
30735,2020-02-07,Suns,, Jalen Lecque,placed on IL
30736,2020-02-07,Suns,, Jared Harper,placed on IL
30739,2020-02-07,Wizards,, Thomas Bryant,placed on IL with sore right foot
30741,2020-02-08,Clippers,, Patrick Beverley,placed on IL with right groin injury
30743,2020-02-08,Hornets,, Cody Martin,placed on IL with concussion
30744,2020-02-08,Hornets,, Nicolas Batum,placed on IL with illness
30751,2020-02-08,Raptors,, Kyle Lowry,placed on IL with neck injury
30752,2020-02-08,Timberwolves,, D'Angelo Russell,placed on IL with bruised right quadriceps
30754,2020-02-09,76ers,, Zhaire Smith,placed on IL with left knee injury (out for season)
30755,2020-02-09,Bulls,, Denzel Valentine,placed on IL with left hamstring injury
30759,2020-02-09,Heat,, Jimmy Butler,placed on IL with strained right shoulder
30760,2020-02-09,Knicks,, Maurice Harkless / Moe Harkless,placed on IL with illness
30761,2020-02-09,Rockets,, Eric Gordon,placed on IL with bruised left leg
30764,2020-02-10,Heat,, K.Z. Okpala,placed on IL
30766,2020-02-10,Jazz,, Mike Conley Jr.,placed on IL
30767,2020-02-10,Pacers,, Edmond Sumner,placed on IL
30770,2020-02-10,Raptors,, Serge Ibaka,placed on IL with illness
30772,2020-02-10,Suns,, Aron Baynes,placed on IL with sore left hip
30775,2020-02-11,Blazers,, Jusuf Nurkic,placed on IL
30776,2020-02-11,Blazers,, Mario Hezonja,placed on IL with sprained left ankle
30777,2020-02-11,Spurs,, DeMar DeRozan,placed on IL with back spasms
30778,2020-02-11,Thunder,, Darius Bazley,placed on IL with right knee injury
30780,2020-02-12,Bucks,, Kyle Korver,placed on IL with sore back
30781,2020-02-12,Cavaliers,, Kevin Love,placed on IL with sore right Achilles
30783,2020-02-12,Hornets,, Terry Rozier,placed on IL with sore left knee
30786,2020-02-12,Magic,, Mohamed Bamba / Mo Bamba,placed on IL with illness
30790,2020-02-12,Timberwolves,, Karl-Anthony Towns,placed on IL with fractured left wrist (out for season)
30791,2020-02-13,Celtics,, Jaylen Brown,placed on IL with left calf injury
30792,2020-02-20,76ers,, Ben Simmons,placed on IL with tightness in lower back
30797,2020-02-20,Heat,, Gabe Vincent,placed on IL
30806,2020-02-21,Cavaliers,, Alfonzo McKinnie,placed on IL with left foot injury
30808,2020-02-21,Celtics,, Kemba Walker,placed on IL with sore left knee
30810,2020-02-21,Knicks,, Elfrid Payton,placed on IL with sore right ankle
30812,2020-02-21,Nuggets,, Keita Bates-Diop,placed on IL
30813,2020-02-21,Nuggets,, Vlatko Cancar,placed on IL
30814,2020-02-21,Raptors,, Patrick McCaw,placed on IL with flu
30816,2020-02-21,Suns,, Jalen Lecque,placed on IL
30820,2020-02-21,Thunder,, Deonte Burton,placed on IL with illness
30822,2020-02-21,Timberwolves,, Jaylen Nowell,placed on IL with illness
30825,2020-02-22,Clippers,, Paul George,placed on IL with strained left hamstring
30826,2020-02-22,Hawks,, De'Andre Hunter,placed on IL for personal reasons
30827,2020-02-22,Hawks,, DeAndre' Bembry,placed on IL with abdominal injury
30829,2020-02-22,Mavericks,, Luka Doncic,placed on IL with sore right ankle
30830,2020-02-22,Rockets,, Michael Frazier II,placed on IL
30833,2020-02-23,Bulls,, Luke Kornet,placed on IL with sprained left ankle (out for season)
30834,2020-02-23,Pacers,, Victor Oladipo,placed on IL with sore lower back
30838,2020-02-24,76ers,, Ben Simmons,placed on IL with back injury
30839,2020-02-24,76ers,, Norvel Pelle,placed on IL with illness
30840,2020-02-24,Bucks,, Brook Lopez,placed on IL with sore back
30841,2020-02-24,Clippers,, Terance Mann,placed on IL
30844,2020-02-24,Grizzlies,, Jaren Jackson Jr.,placed on IL with sprained left knee
30846,2020-02-24,Knicks,, Frank Ntilikina,placed on IL with groin injury
30847,2020-02-24,Mavericks,, Jalen Brunson,placed on IL with torn labrum in right shoulder (out for season)
30850,2020-02-24,Wizards,, Davis Bertans,placed on IL with sore right knee
30852,2020-02-25,Bulls,, Chandler Hutchison,placed on IL with right shoulder injury (out for season)
30853,2020-02-25,Pacers,, Jeremy Lamb,placed on IL with torn ACL in left knee (out for season)
30854,2020-02-26,Cavaliers,, Andre Drummond,placed on IL with strained left calf
30855,2020-02-26,Cavaliers,, Dante Exum,placed on IL with sprained left ankle (out for season)
30856,2020-02-26,Hawks,, Dewayne Dedmon,placed on IL with right elbow injury
30858,2020-02-26,Rockets,, Eric Gordon,placed on IL with bruised right knee
30859,2020-02-26,Spurs,, LaMarcus Aldridge,placed on IL with strained right shoulder
30860,2020-02-26,Suns,, Kelly Oubre Jr.,placed on IL with right knee injury (out for season)
30862,2020-02-27,76ers,, Joel Embiid,placed on IL with sprained left shoulder
30864,2020-02-27,Kings,, De'Aaron Fox,placed on IL with abdominal injury
30866,2020-02-27,Lakers,, LeBron James,placed on IL with left groin injury
30870,2020-02-27,Warriors,, Alen Smailagic,placed on IL
30872,2020-02-28,Bucks,, Khris Middleton,placed on IL with sore neck
30873,2020-02-28,Grizzlies,, Brandon Clarke,placed on IL with right quadricep injury
30874,2020-02-28,Heat,, Gabe Vincent,placed on IL
30875,2020-02-28,Nuggets,, Noah Vonleh,placed on IL with right ankle injury
30877,2020-02-28,Raptors,, Fred VanVleet,placed on IL with left shoulder injury
30878,2020-02-28,Raptors,, Serge Ibaka,placed on IL with sore right knee
